iter	RMSE
0	3.830725017
1	3.743027439
2	3.664543524
3	3.594130949
4	3.52520479
5	3.459955397
6	3.402071495
7	3.346397518
8	3.294661848
9	3.241029299
10	3.193536095
11	3.14671948
12	3.100520122
13	3.061318839
14	3.024617832
15	2.989073944
16	2.955009466
17	2.926663281
18	2.896802362
19	2.870363926
20	2.843833987
21	2.819275156
22	2.797048718
23	2.777344612
24	2.759259277
25	2.740223429
26	2.723158726
27	2.707107177
28	2.69251518
29	2.678373925
30	2.665350912
31	2.65269106
32	2.639711638
33	2.628670622
34	2.618183159
35	2.60999738
36	2.600838038
37	2.592351736
38	2.584216888
39	2.576679497
40	2.569090503
41	2.560875945
42	2.554970933
43	2.547736154
44	2.542097896
45	2.536225646
46	2.532069067
47	2.526884917
48	2.521527177
49	2.517022576
50	2.512099209
51	2.506444506
52	2.502146854
53	2.497456272
54	2.492871078
55	2.489914592
56	2.486485561
57	2.48270337
58	2.479528109
59	2.47622668
60	2.473202385
61	2.468974546
62	2.466365162
63	2.462715213
64	2.460724405
65	2.458595563
66	2.455861529
67	2.452904877
68	2.451074154
69	2.448895107
70	2.44677547
71	2.444846949
72	2.443338295
73	2.44112094
74	2.43980415
75	2.438749123
76	2.436785588
77	2.433624499
78	2.432181353
79	2.430611428
80	2.428698658
81	2.427319804
82	2.425975998
83	2.424262075
84	2.422075494
85	2.421003837
86	2.419570922
87	2.418542145
88	2.417502024
89	2.41665027
90	2.415502595
91	2.414163578
92	2.413054827
93	2.411564868
94	2.410547089
95	2.40953317
96	2.408453449
97	2.407448521
98	2.406366141
99	2.40537063
