iter	Passed	Remaining
0	1	193
1	3	180
2	5	175
3	7	171
4	8	167
5	10	164
6	12	164
7	14	161
8	15	159
9	17	156
10	19	154
11	20	152
12	22	151
13	24	149
14	26	147
15	27	146
16	29	144
17	31	142
18	33	140
19	34	138
20	36	137
21	38	136
22	40	134
23	42	133
24	44	132
25	46	131
26	47	129
27	49	128
28	51	126
29	54	126
30	56	125
31	58	123
32	59	121
33	61	119
34	63	117
35	64	115
36	66	113
37	68	111
38	71	111
39	73	109
40	74	107
41	76	105
42	78	103
43	79	101
44	81	99
45	83	97
46	85	96
47	87	94
48	89	93
49	91	91
50	92	89
51	94	87
52	96	85
53	98	83
54	99	81
55	101	80
56	103	78
57	105	76
58	107	74
59	108	72
60	110	70
61	112	68
62	113	66
63	115	65
64	117	63
65	119	61
66	120	59
67	122	57
68	124	55
69	126	54
70	127	52
71	129	50
72	131	48
73	133	47
74	135	45
75	136	43
76	138	41
77	140	39
78	142	37
79	143	35
80	145	34
81	147	32
82	149	30
83	151	28
84	153	27
85	154	25
86	156	23
87	158	21
88	159	19
89	161	17
90	163	16
91	165	14
92	167	12
93	168	10
94	170	8
95	172	7
96	173	5
97	175	3
98	177	1
99	179	0
